08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0401 Hamar (-1991);Flatfisk og botnfisk;0;0
2000;0401 Hamar (-1991);Djupvassfisk;0;0
2000;0401 Hamar (-1991);Andre skaldyr og blautdyr;0;0
2000;0401 Hamar (-1991);Annan fisk, uspesifisert;0;0
2000;0402 Kongsvinger (-2019);Fisk i alt;0;0
2000;0402 Kongsvinger (-2019);Pelagisk fisk;0;0
2000;0402 Kongsvinger (-2019);Torsk og torskeartar;0;0
2000;0402 Kongsvinger (-2019);Flatfisk og botnfisk;0;0
2000;0402 Kongsvinger (-2019);Djupvassfisk;0;0
2000;0402 Kongsvinger (-2019);Andre skaldyr og blautdyr;0;0
2000;0402 Kongsvinger (-2019);Annan fisk, uspesifisert;0;0
2000;0403 Hamar (1992-2019);Fisk i alt;0;0
2000;0403 Hamar (1992-2019);Pelagisk fisk;0;0
2000;0403 Hamar (1992-2019);Torsk og torskeartar;0;0
2000;0403 Hamar (1992-2019);Flatfisk og botnfisk;0;0
2000;0403 Hamar (1992-2019);Djupvassfisk;0;0
2000;0403 Hamar (1992-2019);Andre skaldyr og blautdyr;0;0
2000;0403 Hamar (1992-2019);Annan fisk, uspesifisert;0;0
2000;0412 Ringsaker (-2019);Fisk i alt;0;0
2000;0412 Ringsaker (-2019);Pelagisk fisk;0;0
2000;0412 Ringsaker (-2019);Torsk og torskeartar;0;0
2000;0412 Ringsaker (-2019);Flatfisk og botnfisk;0;0
2000;0412 Ringsaker (-2019);Djupvassfisk;0;0
2000;0412 Ringsaker (-2019);Andre skaldyr og blautdyr;0;0
2000;0412 Ringsaker (-2019);Annan fisk, uspesifisert;0;0
2000;0414 Vang (-1991);Fisk i alt;0;0
2000;0414 Vang (-1991);Pelagisk fisk;0;0
2000;0414 Vang (-1991);Torsk og torskeartar;0;0
